Comment,Designator,Part,Quantity
100n,C5,YAGEO CC0805KRX7R9BB104,1
10k,"R12,R19",UNI-ROYAL 0805W8F1002T5E,2
10u,C19,Samsung Electro-Mechanics CL21A106KAYNNNE,1
2.2n,C7,Samsung Electro-Mechanics CL21C222JBFNNNE,1
Conn_01x03_Pin,J1,455-B3B-PH-SM4-TBCT-ND,1
AT42QT1010-TSHR,U2,AT42QT1010-TSHR,1
